"","State","Year","Undergrad","Professional","Grad","Total"
"1","Alabama",2017,20,14,2,36
"2","Alabama",2016,17,15,2,34
"3","Alabama",2015,15,15,1,31
"4","Alabama",2014,10,17,0,27
"5","Alabama",2013,7,11,1,19
"6","Alabama",2012,9,10,1,20
"7","Alabama",2011,15,10,2,27
"8","Alabama",2010,13,7,2,22
"9","Alabama",2009,13,7,2,22
"10","Alabama",2008,12,8,2,22
"11","Alabama",2007,11,9,3,23
"12","Alabama",2006,11,9,1,21
"13","Alabama",2005,16,5,0,21
"14","Alabama",2004,16,8,0,24
"15","Alabama",2003,23,26,0,49
"16","Alabama",2002,22,23,0,45
"17","Alabama",2001,21,20,0,41
"18","Alabama",2000,20,21,1,42
"19","Alabama",1999,19,21,2,42
"20","Alabama",1998,13,18,2,33
"21","Alabama",1997,14,1,22,37
"22","Alabama",1996,14,0,24,38
"23","Alabama",1995,12,0,20,32
"24","Alabama",1994,8,0,12,20
"25","Alabama",1993,10,0,10,20
"26","Alabama",1992,13,0,10,23
"27","Alabama",1991,11,1,10,22
"28","Alabama",1990,11,1,14,26
"29","Alabama",1989,7,1,9,17
"30","Alabama",1988,8,0,13,21
"31","Alabama",1987,13,0,12,25
"32","Alabama",1986,10,0,15,25
"33","Alabama",1985,5,0,12,17
"34","Alabama",1984,8,0,11,19
"35","Alabama",1983,7,0,10,17
"36","Alabama",1982,6,0,13,19
"37","Alabama",1981,6,1,15,22
"38","Alabama",1980,3,0,13,16
"39","Alabama",1979,1,0,12,13
"40","Alabama",1978,2,0,10,12
"41","Alabama",1977,3,0,20,23
"42","Alabama",1976,4,0,16,20
"43","Alabama",1975,3,1,17,21
"44","Alaska",2017,5,6,0,11
"45","Alaska",2016,3,4,0,7
"46","Alaska",2015,2,5,0,7
"47","Alaska",2014,3,7,0,10
"48","Alaska",2013,3,3,0,6
"49","Alaska",2012,5,4,0,9
"50","Alaska",2011,6,4,0,10
"51","Alaska",2010,6,5,1,12
"52","Alaska",2009,6,5,1,12
"53","Alaska",2008,3,4,2,9
"54","Alaska",2007,2,4,0,6
"55","Alaska",2006,3,4,1,8
"56","Alaska",2005,5,3,1,9
"57","Alaska",2004,4,1,1,6
"58","Alaska",2003,5,8,1,14
"59","Alaska",2002,5,5,0,10
"60","Alaska",2001,5,11,0,16
"61","Alaska",2000,5,11,0,16
"62","Alaska",1999,5,14,0,19
"63","Alaska",1998,5,7,0,12
"64","Alaska",1997,6,0,8,14
"65","Alaska",1996,5,0,10,15
"66","Alaska",1995,6,0,15,21
"67","Alaska",1994,3,0,7,10
"68","Alaska",1993,1,0,4,5
"69","Alaska",1992,2,0,3,5
"70","Alaska",1991,3,0,3,6
"71","Alaska",1990,5,0,3,8
"72","Alaska",1989,5,0,3,8
"73","Alaska",1988,2,0,4,6
"74","Alaska",1987,0,0,0,0
"75","Alaska",1986,0,0,0,0
"76","Alaska",1985,0,0,NA,0
"77","Alaska",1984,0,0,0,0
"78","Alaska",1983,0,0,3,3
"79","Alaska",1982,1,0,3,4
"80","Alaska",1981,0,0,2,2
"81","Alaska",1980,0,0,2,2
"82","Alaska",1979,0,0,1,1
"83","Alaska",1978,0,0,2,2
"84","Alaska",1977,1,0,1,2
"85","Alaska",1976,1,0,2,3
"86","Alaska",1975,0,0,2,2
"87","Arizona",2017,39,59,7,105
"88","Arizona",2016,34,31,5,70
"89","Arizona",2015,37,26,3,66
"90","Arizona",2014,28,21,3,52
"91","Arizona",2013,18,22,3,43
"92","Arizona",2012,22,17,3,42
"93","Arizona",2011,15,17,2,34
"94","Arizona",2010,20,16,4,40
"95","Arizona",2009,20,16,4,40
"96","Arizona",2008,19,7,6,32
"97","Arizona",2007,17,8,4,29
"98","Arizona",2006,25,9,6,40
"99","Arizona",2005,26,13,4,43
"100","Arizona",2004,22,16,2,40
"101","Arizona",2003,24,35,1,60
"102","Arizona",2002,22,27,3,52
"103","Arizona",2001,21,26,3,50
"104","Arizona",2000,14,26,1,41
"105","Arizona",1999,12,23,4,39
"106","Arizona",1998,11,20,4,35
"107","Arizona",1997,10,4,18,32
"108","Arizona",1996,14,3,18,35
"109","Arizona",1995,17,1,24,42
"110","Arizona",1994,17,1,14,32
"111","Arizona",1993,13,1,15,29
"112","Arizona",1992,10,0,19,29
"113","Arizona",1991,8,0,14,22
"114","Arizona",1990,11,0,10,21
"115","Arizona",1989,9,1,11,21
"116","Arizona",1988,13,0,9,22
"117","Arizona",1987,12,0,9,21
"118","Arizona",1986,6,0,14,20
"119","Arizona",1985,4,0,11,15
"120","Arizona",1984,4,0,11,15
"121","Arizona",1983,3,0,8,11
"122","Arizona",1982,4,0,8,12
"123","Arizona",1981,4,0,8,12
"124","Arizona",1980,4,0,7,11
"125","Arizona",1979,3,0,10,13
"126","Arizona",1978,4,0,13,17
"127","Arizona",1977,3,1,18,22
"128","Arizona",1976,1,1,16,18
"129","Arizona",1975,3,0,10,13
"130","Arkansas",2017,6,14,2,22
"131","Arkansas",2016,10,13,1,24
"132","Arkansas",2015,9,12,1,22
"133","Arkansas",2014,10,8,1,19
"134","Arkansas",2013,12,10,2,24
"135","Arkansas",2012,10,12,2,24
"136","Arkansas",2011,10,9,2,21
"137","Arkansas",2010,8,6,2,16
"138","Arkansas",2009,8,6,2,16
"139","Arkansas",2008,3,10,2,15
"140","Arkansas",2007,8,12,2,22
"141","Arkansas",2006,9,11,0,20
"142","Arkansas",2005,13,10,0,23
"143","Arkansas",2004,17,6,0,23
"144","Arkansas",2003,14,20,0,34
"145","Arkansas",2002,11,16,1,28
"146","Arkansas",2001,8,16,1,25
"147","Arkansas",2000,11,19,3,33
"148","Arkansas",1999,14,23,2,39
"149","Arkansas",1998,14,18,2,34
"150","Arkansas",1997,15,2,14,31
"151","Arkansas",1996,10,0,11,21
"152","Arkansas",1995,6,0,12,18
"153","Arkansas",1994,4,0,NA,4
"154","Arkansas",1993,5,1,7,13
"155","Arkansas",1992,5,2,9,16
"156","Arkansas",1991,4,3,6,13
"157","Arkansas",1990,8,0,6,14
"158","Arkansas",1989,5,1,6,12
"159","Arkansas",1988,6,0,4,10
"160","Arkansas",1987,5,1,10,16
"161","Arkansas",1986,5,1,6,12
"162","Arkansas",1985,4,0,11,15
"163","Arkansas",1984,4,0,11,15
"164","Arkansas",1983,6,0,8,14
"165","Arkansas",1982,7,0,5,12
"166","Arkansas",1981,3,0,4,7
"167","Arkansas",1980,5,0,4,9
"168","Arkansas",1979,8,0,5,13
"169","Arkansas",1978,6,0,5,11
"170","Arkansas",1977,6,0,11,17
"171","Arkansas",1976,4,0,9,13
"172","Arkansas",1975,5,1,5,11
